Match Score (%),Recommendation,Title,Company,Company Type,Modality,Salary,Salary Type,Interview Difficulty (0-100),Location,Has Full JD,Pros,Cons / Risks,AI Reasoning,URL,Posted,Scanned At
92,HIGHLY INTERESTED,Mid/Senior Software Engineer (Java),Revolut,Scaleup,Remote,"55,000€ - 75,000€",Estimated,85,Greater Dublin,Yes,"• Top-tier FinTech scaleup product company
• Modern stack: Java 17/21, GCP, Kubernetes, Postgres, Microservices
• Mid/Senior scope accepts candidates around 4 years experience
• 100% remote with competitive compensation (>55k€)","• Challenging technical interviews focused on TDD, algorithms, and design
• Fast-paced environment","Outstanding match for modern Java 17/21 microservices stack in a premier fintech scaleup. The compensation well exceeds your 45k€ target, and your 3.5 years exp fits their Mid/Senior tier.",https://www.linkedin.com/jobs/view/4321239039/,Reposted 1 week ago,2026-08-10T21:10:19.104Z
85,HIGHLY INTERESTED,Backend (Mid-Level) Software Engineer,Granular Energy,Startup,Remote,"50,000€ - 65,000€",Estimated,65,London (Remote),No,"• Product startup company
• Mid-level role fits your 3.5 years experience perfectly
• 100% remote option with UK scale salary potential",• Detailed job description missing,Excellent match as a mid-level remote backend role in a clean-tech product startup. Compensation is likely well above your 45k€ target.,N/A,2 months ago,2026-08-10T21:10:01.295Z
85,HIGHLY INTERESTED,Mid Level Java Developer,hackajob,Unknown,Remote,"50,000€ - 65,000€",Estimated,55,United Kingdom (Remote),No,"• Posted 1 day ago
• Explicit Mid-Level Java Developer title (Perfect match)
• UK Remote market pay",• Detailed job description missing,Very recent posting explicitly targeting Mid-Level Java developers with remote flexibility and high salary expectations.,N/A,1 day ago,2026-08-10T21:10:17.919Z
82,HIGHLY INTERESTED,Product Software Engineer,Brightflag,Scaleup,Remote,"50,000€ - 65,000€",Estimated,65,Ireland (Remote),No,"• Product scaleup company environment
• Remote work in EU / Ireland
• Product Engineer role matching mid seniority",• Detailed job description missing,"Strong product scaleup in Ireland offering remote roles, well aligned with your 45k€+ target and mid-level background.",N/A,5 days ago,2026-08-10T21:10:17.919Z
80,HIGHLY INTERESTED,Java Developer,Haystack,Startup,Remote,"50,000€ - 65,000€",Estimated,60,London (Remote),No,"• Posted within the last hour
• UK remote market rates (>45k€)
• Java Developer title aligns with semisenior experience",• Detailed job description missing,Brand new remote posting matching your mid-level Java experience with strong pay potential.,N/A,1 hour ago,2026-08-10T21:10:17.919Z
78,HIGHLY INTERESTED,Senior Backend Engineer Java / Spring Boot - remote,wealthAPI,Scaleup,Remote,"55,000€ - 70,000€",Estimated,75,Germany (Remote),No,"• Fintech scaleup product company
• Exact tech stack: Java and Spring Boot
• Remote modality with German salary levels (>50k€)","• Senior role might push technical expectations
• Detailed job description missing","Strong technology stack alignment with remote work in a European fintech scaleup. The Senior title may increase interview difficulty, but salary expectation will be easily met.",N/A,3 weeks ago,2026-08-10T21:10:01.295Z
78,HIGHLY INTERESTED,Software Engineer - FinTech (Remote),Quik Hire Staffing,Unknown,Remote,"50,000€ - 70,000€",Estimated,65,EMEA (Remote),No,"• Fresh post (16 hours ago)
• FinTech sector domain
• EMEA Remote coverage with strong salary upside","• Recruitment staffing agency
• Detailed job description missing",Fresh fintech remote opportunity across EMEA with potential to easily surpass your 45k€ target.,N/A,16 hours ago,2026-08-10T21:10:17.919Z
76,HIGHLY INTERESTED,Senior Backend Engineer (Java),Moniepoint Group,Scaleup,Remote,"55,000€ - 75,000€",Estimated,70,Poland (Remote),No,"• Fintech scaleup unicorn product environment
• Remote work modality
• Java backend stack","• Senior title gap
• Detailed job description missing",Fast-growing fintech scaleup paying global salaries well above 45k€. Strong candidate match despite Senior title challenge.,N/A,1 week ago,2026-08-10T21:10:17.919Z
75,MAYBE / REVIEW,Senior Software Engineer,Twilio,Scaleup,Remote,"70,000€ - 90,000€",Estimated,85,Estonia (Remote),No,"• Top-tier US product company
• Remote option in EU
• Exceptional salary compensation (>70k€)","• Senior interview bar at Twilio is extremely rigorous
• Detailed job description missing","Exceptional product company with top market pay, but Twilio's Senior technical interview bar will be very challenging for 3.5 years experience.",N/A,1 week ago,2026-08-10T21:10:17.919Z
75,HIGHLY INTERESTED,Software Engineer (f/m/d),Awin Global,SME,Remote,"45,000€ - 58,000€",Estimated,60,Romania (Remote),No,"• Global product engineering environment
• Mid-level Software Engineer role fits 3.5 years experience
• Remote modality
• Fresh post (5 days ago)",• Detailed job description missing,Solid mid-level remote role at a global product firm matching your experience level and desired salary scope.,N/A,5 days ago,2026-08-10T21:10:17.919Z
75,HIGHLY INTERESTED,Java Developer,Autopay,Product,Remote,"45,000€ - 58,000€",Estimated,60,Sopot (Remote),No,"• Fintech product company
• Remote work option
• Fits general Java stack background",• Detailed job description missing,Remote Java role at an established European fintech product company. Strong potential for competitive salary and modern architecture.,N/A,1 month ago,2026-08-10T21:10:01.295Z
75,HIGHLY INTERESTED,Senior Backend Engineer,Harmonic Security,Startup,Remote,"55,000€ - 75,000€",Estimated,75,London (Remote),No,"• UK cybersecurity startup product environment
• Remote work option
• High salary potential","• Senior title requirement
• Detailed job description missing",High-potential product startup role with strong compensation. Senior status may require convincing interview performance for 3.5 years exp.,N/A,3 weeks ago,2026-08-10T21:10:01.296Z
72,MAYBE / REVIEW,Senior Backend Developer,Tempo Software,Scaleup,Remote,"55,000€ - 75,000€",Estimated,75,Canada (Remote),No,"• Product scaleup (Atlassian ecosystem)
• Remote work modality","• Canadian HQ potential timezone/tax complexity
• Senior level requirement
• Detailed job description missing","Strong product company with solid compensation, but Canadian headquarters and Senior requirements require careful evaluation.",N/A,1 week ago,2026-08-10T21:10:17.920Z
72,HIGHLY INTERESTED,Java Services Engineer,RubyPlay,Product,Remote,"45,000€ - 60,000€",Estimated,60,Warsaw (Remote),No,"• Product company environment
• Remote work modality
• Java backend development focus",• Detailed job description missing,"Remote Java backend position at a gaming product company, likely offering competitive compensation above 45k€.",N/A,2 weeks ago,2026-08-10T21:10:17.919Z
70,MAYBE / REVIEW,Senior Java Engineer,"Cosmose, Inc.",Startup,Remote,"50,000€ - 65,000€",Estimated,70,Warsaw (Remote),No,"• Product startup company
• Remote work option","• Senior role requires high proficiency
• Detailed job description missing",Product startup role offering remote flexibility and competitive pay. Seniority requirement warrants careful review of job description.,N/A,3 weeks ago,2026-08-10T21:10:01.296Z
70,MAYBE / REVIEW,Senior Java Engineer (Core),Hazelcast,Product,Remote,"65,000€ - 85,000€",Estimated,85,United Kingdom (Remote),No,"• World-class Java infrastructure product company
• Remote in UK/EU
• Excellent salary potential","• High technical bar for core low-level Java/distributed systems
• Senior title requirement
• Detailed job description missing","Prestigious Java product firm with top-tier compensation, but the core engine focus and senior level impose a very high technical bar.",N/A,2 weeks ago,2026-08-10T21:10:01.296Z
65,MAYBE / REVIEW,Software Engineer,IT Search,Unknown,Remote,"45,000€ - 60,000€",Estimated,60,Ireland (Remote),No,"• Ireland remote market rates usually meet >45k€ goal
• 100% remote option","• Recruitment agency listing
• Generic title without job description",Irish recruitment agency position offering remote flexibility and strong compensation potential. Lacks specific stack details.,N/A,2 weeks ago,2026-08-10T21:10:01.296Z
65,MAYBE / REVIEW,Mid/Senior Java Developer,Bonapolia,Consulting,Remote,"45,000€ - 60,000€",Estimated,60,Tallinn (Remote),No,"• 100% remote modality
• Accessible Mid/Senior level fits 3.5 years experience
• Foreign agency likely paying above Spanish market","• Recruitment consultancy model
• Detailed job description missing",Remote international role offering good scope for your experience level. Requires further JD review to confirm tech stack specifics.,N/A,2 weeks ago,2026-08-10T21:10:01.295Z
65,MAYBE / REVIEW,Java Developer (Remote),IT Search,Unknown,Remote,"45,000€ - 60,000€",Estimated,55,Ireland (Remote),No,"• Irish market remote pay rates
• Fresh post (5 days ago)","• Recruitment agency listing
• Detailed job description missing",Recent remote agency post with promising compensation potential from Ireland. Requires detailed JD to confirm technical fit.,N/A,5 days ago,2026-08-10T21:10:17.919Z
65,MAYBE / REVIEW,"Java Backend Developer | Spring Boot, Kafka & Microservicios | Remoto",knowmad mood,Consulting,Remote,"33,000€ - 39,000€",Estimated,35,Madrid (Remote),No,"• Exact tech stack match: Java, Spring Boot, Kafka, Microservices
• 100% remote modality",• Spanish consultancy firm limits compensation ceiling below 40k€,"Perfect technical stack fit with Kafka and microservices in full remote. However, being a Spanish consultancy implies salary constraints.",N/A,3 weeks ago,2026-08-10T21:10:01.296Z
62,MAYBE / REVIEW,Java/Spring Boot Backend Developer – Cassandra | 100% remoto,Qaracter - Beyond your Challenge,Consulting,Remote,"32,000€ - 40,000€",Estimated,40,Spain (Remote),No,"• Fresh posting (posted 9h ago)
• 100% remote in Spain
• Java and Spring Boot stack","• Spanish consultancy model
• Specific Cassandra dependency
• Detailed job description missing",Recently posted remote Spring Boot role matching core technologies. Salary likely caps near 40k€ due to consultancy nature.,N/A,9 hours ago,2026-08-10T21:10:17.919Z
